Name,Confidence,Object
Accessories,69.4544677734375,192879.jpg
Jewelry,69.4544677734375,192879.jpg
Pendant,69.4544677734375,192879.jpg
Accessory,69.4544677734375,192879.jpg
Jar,63.276153564453125,192879.jpg
Clock Tower,93.58509826660156,192881.jpg
Building,93.58509826660156,192881.jpg
Architecture,93.58509826660156,192881.jpg
Tower,93.58509826660156,192881.jpg
Wristwatch,85.589080810546875,192881.jpg
Ring,74.39119720458984,192881.jpg
Accessories,74.39119720458984,192881.jpg
Jewelry,74.39119720458984,192881.jpg
Accessory,74.39119720458984,192881.jpg
Jar,73.63755798339844,192891.jpg
Ring,72.2475357055664,192891.jpg
Accessories,72.2475357055664,192891.jpg
Jewelry,72.2475357055664,192891.jpg
Accessory,72.2475357055664,192891.jpg
Pottery,62.43282699584961,192891.jpg
Jacuzzi,97.405303955078125,193433.jpg
Tub,97.405303955078125,193433.jpg
Hot Tub,97.405303955078125,193433.jpg
Person,95.741668701171875,193433.jpg
Human,95.741668701171875,193433.jpg
Furniture,84.6593017578125,193433.jpg
Coffee Table,65.84758758544922,193433.jpg
Table,65.84758758544922,193433.jpg
Tabletop,58.574493408203125,193433.jpg
Cuff,57.55426788330078,193433.jpg
Ring,80.47337341308594,193434.jpg
Accessories,80.47337341308594,193434.jpg
Jewelry,80.47337341308594,193434.jpg
Accessory,80.47337341308594,193434.jpg
Platinum,75.12236785888672,193434.jpg
Furniture,72.82710266113281,193434.jpg
Buckle,62.26945877075195,193434.jpg
Harmonica,97.50859069824219,193435.jpg
Musical Instrument,97.50859069824219,193435.jpg
Box,94.09751892089844,193435.jpg
Silver,83.67607879638672,193733.jpg
Money,81.2554931640625,193733.jpg
Crystal,68.995819091796875,193733.jpg
Furniture,64.46476745605469,193733.jpg
Platinum,62.15962600708008,193733.jpg
Ring,61.84999465942383,193733.jpg
Accessories,61.84999465942383,193733.jpg
Jewelry,61.84999465942383,193733.jpg
Accessory,61.84999465942383,193733.jpg
Coin,57.325897216796875,193733.jpg
Box,97.6660385131836,193740.jpg
Porcelain,63.98021697998047,193740.jpg
Pottery,63.98021697998047,193740.jpg
Art,63.98021697998047,193740.jpg
Pencil Box,59.42527389526367,193740.jpg
Person,96.81307220458984,193741.jpg
Box,93.45391845703125,193741.jpg
Newborn,79.1270980834961,193741.jpg
Baby,79.1270980834961,193741.jpg
Face,70.206787109375,193741.jpg
Photography,63.014747619628906,193741.jpg
Portrait,61.439613342285156,193741.jpg
Porcelain,58.99910354614258,193741.jpg
Pottery,58.99910354614258,193741.jpg
Finger,57.925941467285156,193741.jpg
Porcelain,99.86279296875,193742.jpg
Art,99.86279296875,193742.jpg
Pottery,99.86279296875,193742.jpg
Painting,77.8011703491211,193742.jpg
Person,76.54979705810547,193742.jpg
Purse,65.27051544189453,193742.jpg
Accessories,65.27051544189453,193742.jpg
Bag,65.27051544189453,193742.jpg
Drawing,65.05662536621094,193742.jpg
Leisure Activities,64.3748779296875,193742.jpg
Box,99.3283462524414,193743.jpg
Person,94.833831787109375,193743.jpg
Human,94.833831787109375,193743.jpg
Treasure,87.7430419921875,193743.jpg
Porcelain,87.713134765625,193743.jpg
Pottery,87.713134765625,193743.jpg
